batch index,sentence NUCLE ID,original_text,is perfect,original_language
1,106714,"According to that Environmental working group, Yucca fills up 2495 tons of nuclear waste currently (The Charlotte Observer, Hauter, 2004).",False,english
1,74330,"Most places are accessible by roads, this in term boast the sales of automobiles and with the increase in sales.",False,english
1,87226,Huge enterprises which relied on high technology are very few.,False,english
1,87389,Construction of sky scrapers is relatively safe despite its height due to deep analytical insights in the construction of these buildings.,False,english
1,134536,The above three points prove that it is worth to build VHTRs because it will pay back in the long run.,False,english
1,106213,"When GIF have found out the proper method of recycling, the public can live with ease nearby the nuclear reactor plant.",False,english
1,3326,"Gathering pertinent information is a crucial stage in engineering design processes, however, being neglected quite often.",False,english
1,70602,This is due to the fuel processing in the car.,False,english
1,141731,"Furthermore, the consequences of it not so well-known and researched on yet as nuclear technology has not been around for a very long time.",False,english
1,99431,"New shopping centres such as Orchard Centre and Ion Orchard have elderly-friendly facilities such as rams or leveled ground at the entrance, toilets for the disabled which is also user-friendly for the elderly.",False,english
1,151833,"Having the same parents can mean that certain disease can run within the family and they are morally obligated to warn their relatives of the possible hazards that may trigger disease, For example, to prevent relatives from eating fava beans when one is detected to have G6PD deficiency.",False,english
1,144101,One of the strategies is by encouraging longer employment for citizens and lower barriers for the elderly employment.,False,english
1,146566,There are certain disorders that exist such that they would have adverse effects on the health of individuals.,False,english
1,12945,"In this case, the person's families are likely suffering from such diseases and missing the earlier diagnosis in the future, which are mainly caused by the person's concealment of his testing results.",False,english
1,50662,"With a demand of higher standard of living, the government may have to divert more public spending to look after the increasing needs of the aged.",False,english
1,30678,"Indeed, some countries, despite facing ageing population, do not make expenditure on the elderly as their first priority, for example, Singapore.",False,english
1,149531,"Thirdly, by knowing the results of the genetic test on the individuals might cause discriminations against them.",False,english
1,118038,It has better performance as well since it has high efficiency and both electricity and hydrogen as its reaction product.,False,english
1,97136,"The government has to concern about this issue, so the further impact would not happen in the future.",False,english
1,88186,"But, electric refrigerator was selected over gas refrigerator because General Electric believed that larger profit can be made from the electric refrigerator.",False,english
