batch index,sentence NUCLE ID,original_text,is perfect,original_language
1,135977,This is mainly thanks to the fact that sodium-cooled reactors are already in operation in Japan and Russia (US DOE NERAC/GIF 2002).,True,english
1,140345,"With the increasing demand for energy and prices for fossil fuel, the Generation IV International Forum (GIF) comes out with the new concepts of the Generation IV nuclear reactors.",True,english
1,33053,"With an aging population, the government has to direct more resources to take care of the needs of the elderly in areas such as medical care.",True,english
1,11775,The practice of genetic testing has raised many controversies on ethical and social issues.,True,english
1,47533,The elderly used to work and devote their talents and efforts to the development of the country.,True,english
1,25295,"On the other hand, money is also needed in the other areas of development like education.",True,english
1,132679,New generation IV reactors address these serious issues and bring new hope to mankind.,True,english
1,27723,"Since the 2003, Singapore General Hospital has performed numerous robotic surgeries ever since the robotic surgical system, known as Da Vinci Surgical was introduce.",True,english
1,139424,We should have faith in ourselves and believe that nuclear power's new dawn is coming.,True,english
1,61653,Europe is about to have 37 percent of its population to be 60 years and above by 2050.,True,english
1,101258,"On the contrary, the security problems of nuclear plants have already been tackled.",True,english
1,125159,"As the temperature rises, the heat transfer properties of the reactor rapidly improve.",True,english
1,84865,"The battery, which is a mercury cell, supplies the power needed for the pacemaker to function.",True,english
1,148388,Mclean Margaret R. (2008) When What We Know Outstrips What We Can Do.,True,english
1,110080,It seems that the boundary between the technological problem and psychological problem is very vague.,True,english
2,139673,The R&D group of VHTR must then look into this issue so that the benefits that Nuclear Plants bring do not end up being a liability.,True,english
2,13752,"However, if the individual is unable to make the appropriate choice of the usage of the genetic results, a professional doctor should step in to provide relevant advice, while maintain patient-doctor confidentiality.",True,english
2,42905,Existing developments by private entities still do not have better accessibility.,True,english
2,115170,Another property of the new nuclear plant is the production of hydrogen fuel together with electricity.,True,english
2,113744,"After the Chernobyl disaster in Soviet Union, many people started to reject the proposal of wide usage of nuclear power.",True,english
2,21767,"2) Robert B. Friedland and Laura Summer, Demography Is Not Destiny, Revisited.",True,english
2,10786,"Gradually, people were not satisfied by fans, since they had to keep shaking fans to keep cool.",True,english
2,87283,"(Khandani, S. 2005) However, not everything is smooth sailing, and there are problems that may hamper the engineering design process.",True,english
2,132161,Nuclear leak is the fear that most people have after the Bhopal incident which occurred in 1984.,True,english
2,152564,"If so unfortunately the related family member were to develop the disease and carry on with giving birth, his/her child will in turn have a 50 percent chance of having the disease.",True,english
2,76692,"Unfortunately in Malaysia, design-centric knowledge is not given much emphasis.",True,english
2,158426,Technological advancement has made it possible to track people using electronic devices.,True,english
2,93869,Patients from other countries will come here for these special treatments to cure their illnesses.,True,english
2,49499,"However, the quote from Matthew Bandyk (2009), "" The evidence is actually pretty strong that immigrants create jobs--they do n't steal them.",True,english
2,74684,"Just in this way, corruption hampers the execution stage of engineering design processes for Innovation, killing numerous of engineering design processes for innovation.",True,english
3,31573,"Despite the government's constant effort in introducing and crafting attractive policies and benefits to her people, the bid to boost child bearing still remains bleak.",True,english
3,92383,"Another policy implemented by the Singapore Government is the "" ADVANTAGE !",True,english
3,141801,"First of all, oppositions of nuclear technology have argued that nuclear power is unsafe due to its radioactive and explosive nature, and a leakage or accident is likely to cause severe damages and even deaths.TS In the context of VHTR, though explosive and radioactive in nature, it is able to prevent radioactive materials from escaping in the event of a leakage or accident.",True,english
3,138942,This shows that the design of the power plant was not stable for generating energy.,True,english
3,133302,"According to a table published in an article (NATURE, 2004, Vol 429, p. 239), it showed that the VHTR could be delivered in 2020 while many other designs could only manage 2025.",True,english
3,52359,"In addition, the introduction of health related welfare schemes for the aged is also one of the main solutions.",True,english
