batch index,sentence NUCLE ID,original_text,is perfect,original_language
1,83404,"How creative or attractive the product is which will depend on the imagination of a designer, regardless of which area a designer focuses on.",False,english
1,84618,"However, the corruption in politic system in Malaysia is so staid that it even impedes engineering design process.",False,english
1,64832,"The majority of housing in Singapore are HDB flats, these flats add up to form a considerable amount of land area.",False,english
1,106112,These six generation IV reactors are still under testing and research phase.,False,english
1,155371,"It is useful in tracking patients in hospitals, criminals after they committed crimes and employees in workplace.",False,english
1,88173,"In the past, around 1930, there were two prototype refrigerators.",False,english
1,119189,"Compared with funding the Gen IV reactors, they think that governments should rather use the money to reinforce the safety of currently operating reactors.",False,english
1,137405,"Further research and development funding for Generation IV nuclear reactor, particularly the Very- High-Temperature Reactor (VHTR), should be supported.",False,english
1,144580,"Barrier-free environment could be done by upgrading the roads and infrastructures between housing and buildings according to the Code of Barrier-Free Accessibility (BCA, 2002).",False,english
1,23187,"Besides, SPUR focus on retraining for older workers whereas ADVANTAGE !",False,english
1,40657,Japan had started to develop robots meant for elderly.,False,english
1,65027,"Therefore, as we human are running out of energy we could make use of, providing sustainable, green and reliable energy has been crucial for the survival of the whole human society.",False,english
1,119896,"Last for but not least, gaseous coolants have low thermal transfer properties, hence requiring an intermediate heat exchange with a larger surface area (Chapin, et al 2004).",False,english
1,59377,"The community centers organize some activities such as performances, games and feasts to help them feel less lonely, cheer them up and make them happy and this has eased the aging process in the society.",False,english
1,94383,"I agree to a great extent that these research, new development and policies will help to ease the aging process and also prepare the country with their aging population.",False,english
1,13800,"If they are positive, they can undertake a further diagnostic procedure for whether any physical symptom developing.",False,english
1,135994,Plutonium is also included in this group and it can be used for production of nuclear weapons.,False,english
1,8379,"The new technology gives us many ways to find new source----wave energy, wind energy, solar energy and nuclear energy.",False,english
1,17275,"In conclusion, individuals should not have the final say in revealing their genetic test results for the benefits of the people around them.",False,english
1,99048,"Firstly, modern medical research are able treat and cure deadly diseases and we are incapable previously.",False,english
