,WorkerId,Unnamed: 0,ExcludedAverage,HITId,WorkTimeInSeconds,Input.batch,MistakeZScore,Input.Nucle_ID,Input.original_text,Input.is_perfect,Input.is_control,Answer.mistakeRate
13,A2M60DEZGPAO34,14,0.038047782023809706,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,-0.8522542434431403,78361,"Next, the public demands have pushed the benefits of the GPS greater when gadgets are integrated with GPS to provide constant relative motion and time coordinating.",False,True,10
28,A2M60DEZGPAO34,29,-0.4275252102193978,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,0.6508896801005016,84176,"This concept is similar to the method of entering the MRT station but of course, no money will be deducted.",False,True,63
31,A2M60DEZGPAO34,32,-0.47607223371414104,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,-1.1358663044891104,99333,There is a reduction of the thymus gland to 5-10% of its original mass by age 50.,False,True,0
36,A2M60DEZGPAO34,37,0.39349483030329846,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,1.104668977774054,21199,"We, as humans should also play a part by taking care of our well beings than be dependent on others for support.",False,True,79
37,A2M60DEZGPAO34,38,-0.8028071425499176,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,-1.1358663044891104,56408,"Whether the country develops or not, public spending on the aged should not be limited.",False,True,0
41,A2M60DEZGPAO34,42,0.36126588289168443,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,1.7002543059705912,65802,"To enhance the capacity of the battery, keep trying new materials is important.",False,True,100
52,A2M60DEZGPAO34,53,0.2609366573446041,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,1.4450034510292182,37513,"Thus, with the lifts upgade and even paths, they can take the can the lifts just outside their doors and move around the estate with no constraint due to unaccessible paths.",False,True,91
57,A2M60DEZGPAO34,58,-0.30933060600728324,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,0.9061405350418748,63582,It is certainly worthy of the public fund to build the best educational facilities and ensure that every child has the chance to receive education.,False,True,72
67,A2M60DEZGPAO34,68,0.1101991458874205,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,-0.37011373966499106,26110,"Due to the decrease in healthcare aid for elderly, lack of community hospitals and housing homes, social problems would be generated.",False,True,27
73,A2M60DEZGPAO34,74,0.46719825559224126,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,1.6435318937613972,20266,Limiting public is something which the governments must consider seriously.,False,True,98
79,A2M60DEZGPAO34,80,-0.15674014432573344,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,-1.1358663044891104,126746,"In conclusion, even though MSR cost more to research than VHTR, its benefits outshine VHTR.",False,True,0
84,A2M60DEZGPAO34,85,-0.08769596630235685,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,-1.1358663044891104,70323,This product is a smart suit that is equipped with array of microsensors which are able to detect falls suffered by the wearers and to send alerts to their caregivers.,False,True,0
99,A2M60DEZGPAO34,100,-0.3215378950819904,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,-1.1358663044891104,120839,"With today's high demand of energy sources, one can say that nuclear energy is an inevitable energy source in the future to come.",False,True,0
109,A27NBGO9FXJS8Q,110,0.019662502873136735,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,0.3022678450207951,76932,"Different from other continents in the world, many people in Africa are still struggling for food, having no access to electricity.",False,True,46
115,A27NBGO9FXJS8Q,116,0.48295267862447777,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,-0.3256729095077687,26388,"As compared to 2003, it shows an increased of 1.4 years and 1.2 years correspondingly (Singapore Department of Statistics, 2008).",False,True,24
117,A27NBGO9FXJS8Q,118,-0.007850810164029776,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,-0.7823570946194515,6201,"These ideas may sound ludicrous, however it is the easiest method that enables us to store more time while we change our lifestyle and prepares for global warming.",False,True,8
128,A27NBGO9FXJS8Q,129,-0.5077869810064392,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,-1.0106991871752928,50415,The aging workforce will then decrease the work productivity and lower nation's economic development.,False,True,0
132,A27NBGO9FXJS8Q,133,-0.2548110174518196,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,1.3012644999526009,78492,"When he served in the army, he noticed that a lot of soldiers died from simple infections caused by small wounds.",False,True,81
142,A27NBGO9FXJS8Q,143,-0.19696246721966348,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,0.5306099375766365,144513,This is also an alternative to the minority of the elderly who prefer to live independently and not add on to the burden of their child.,False,True,54
144,A27NBGO9FXJS8Q,145,-0.047467556007602045,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,-0.4113011942162092,134590,""" (Our Energy, 2007) Without the public fear and reluctance to accept nuclear power, the world may now be enjoying the abundant electricity and accelerating economic growth, especially in some developing countries like India and China.",False,True,21
168,A27NBGO9FXJS8Q,169,0.3378409118448177,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,-0.6111005252025704,57315,"Inevitably, after the financial incentives such as tax reliefs and priority housing has been instituted, there are more adult children who live with, or nearby, their elderly parents.",False,True,14
172,A27NBGO9FXJS8Q,173,-0.07557273648036913,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,0.8445803148409184,58465,If that happens and the nation decides to be a welfare state then it will fail like what Britain experienced.,False,True,65
