,WorkerId,Unnamed: 0,ExcludedAverage,HITId,WorkTimeInSeconds,Input.batch,MistakeZScore,Input.Nucle_ID,Input.original_text,Input.is_perfect,Input.is_control,Answer.mistakeRate
13,A2M60DEZGPAO34,14,0.042946602671473565,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,-0.8522542434431403,78361,"Next, the public demands have pushed the benefits of the GPS greater when gadgets are integrated with GPS to provide constant relative motion and time coordinating.",False,True,10
28,A2M60DEZGPAO34,29,-0.4510151015465978,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,0.6508896801005016,84176,"This concept is similar to the method of entering the MRT station but of course, no money will be deducted.",False,True,63
31,A2M60DEZGPAO34,32,-0.48039091142478424,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,-1.1358663044891104,99333,There is a reduction of the thymus gland to 5-10% of its original mass by age 50.,False,True,0
36,A2M60DEZGPAO34,37,0.39349483030329846,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,1.104668977774054,21199,"We, as humans should also play a part by taking care of our well beings than be dependent on others for support.",False,True,79
37,A2M60DEZGPAO34,38,-0.6998338865961179,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,-1.1358663044891104,56408,"Whether the country develops or not, public spending on the aged should not be limited.",False,True,0
41,A2M60DEZGPAO34,42,0.4032287339168286,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,1.7002543059705912,65802,"To enhance the capacity of the battery, keep trying new materials is important.",False,True,100
51,A2M60DEZGPAO34,52,-0.1889191089188253,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,-1.1358663044891104,99554,"However taking a look around us today, current research, development and various policies have evolved to an extent large enough to dismiss our concerns with a greying population.",False,True,0
52,A2M60DEZGPAO34,53,0.29232027641153213,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,1.4450034510292182,37513,"Thus, with the lifts upgade and even paths, they can take the can the lifts just outside their doors and move around the estate with no constraint due to unaccessible paths.",False,True,91
57,A2M60DEZGPAO34,58,-0.2558764210012891,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,0.9061405350418748,63582,It is certainly worthy of the public fund to build the best educational facilities and ensure that every child has the chance to receive education.,False,True,72
60,A2M60DEZGPAO34,61,0.3514319016701337,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,1.104668977774054,7,"This will, if not already, caused problems as there are very limited spaces for us.",False,True,79
67,A2M60DEZGPAO34,68,-0.010554911869091918,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,-0.37011373966499106,26110,"Due to the decrease in healthcare aid for elderly, lack of community hospitals and housing homes, social problems would be generated.",False,True,27
73,A2M60DEZGPAO34,74,0.5051707515471372,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,1.6435318937613972,20266,Limiting public is something which the governments must consider seriously.,False,True,98
79,A2M60DEZGPAO34,80,-0.15674014432573344,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,-1.1358663044891104,126746,"In conclusion, even though MSR cost more to research than VHTR, its benefits outshine VHTR.",False,True,0
84,A2M60DEZGPAO34,85,-0.15485772503320233,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,-1.1358663044891104,70323,This product is a smart suit that is equipped with array of microsensors which are able to detect falls suffered by the wearers and to send alerts to their caregivers.,False,True,0
99,A2M60DEZGPAO34,100,-0.3215378950819904,36GJS3V78VCK4DP1CD4TEW2SV9GJGV,759,200,-1.1358663044891104,120839,"With today's high demand of energy sources, one can say that nuclear energy is an inevitable energy source in the future to come.",False,True,0
109,A27NBGO9FXJS8Q,110,0.029042446098495194,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,0.3022678450207951,76932,"Different from other continents in the world, many people in Africa are still struggling for food, having no access to electricity.",False,True,46
115,A27NBGO9FXJS8Q,116,0.40719902739145863,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,-0.3256729095077687,26388,"As compared to 2003, it shows an increased of 1.4 years and 1.2 years correspondingly (Singapore Department of Statistics, 2008).",False,True,24
117,A27NBGO9FXJS8Q,118,0.0355087723526417,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,-0.7823570946194515,6201,"These ideas may sound ludicrous, however it is the easiest method that enables us to store more time while we change our lifestyle and prepares for global warming.",False,True,8
128,A27NBGO9FXJS8Q,129,-0.5077869810064392,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,-1.0106991871752928,50415,The aging workforce will then decrease the work productivity and lower nation's economic development.,False,True,0
132,A27NBGO9FXJS8Q,133,-0.2837301072484202,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,1.3012644999526009,78492,"When he served in the army, he noticed that a lot of soldiers died from simple infections caused by small wounds.",False,True,81
142,A27NBGO9FXJS8Q,143,-0.13235915894922318,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,0.5306099375766365,144513,This is also an alternative to the minority of the elderly who prefer to live independently and not add on to the burden of their child.,False,True,54
144,A27NBGO9FXJS8Q,145,-0.10353977685828468,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,-0.4113011942162092,134590,""" (Our Energy, 2007) Without the public fear and reluctance to accept nuclear power, the world may now be enjoying the abundant electricity and accelerating economic growth, especially in some developing countries like India and China.",False,True,21
165,A27NBGO9FXJS8Q,166,-0.07346177398166329,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,1.13000793053572,149953,"Although there is a concern that a positive test with a particular genetic disease can decrease the chance of the candidate in getting a job (Fisher, 2009) since companies always want employees that can work as hard as they want, laws are passed in order to protect the victims of disorder (Fisher, 2009).",False,True,75
168,A27NBGO9FXJS8Q,169,0.27426416168051115,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,-0.6111005252025704,57315,"Inevitably, after the financial incentives such as tax reliefs and priority housing has been instituted, there are more adult children who live with, or nearby, their elderly parents.",False,True,14
172,A27NBGO9FXJS8Q,173,-0.1107140714454219,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,0.8445803148409184,58465,If that happens and the nation decides to be a welfare state then it will fail like what Britain experienced.,False,True,65
179,A27NBGO9FXJS8Q,180,-0.3665075028189769,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,-0.38275843264672893,102729,"The world encounters an unprecedented challenge which requires urgent global action to prevent the risks of climate change (Stern, 2008).",False,True,22
182,A27NBGO9FXJS8Q,183,-0.11207798954673566,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,-1.0106991871752928,9587,"Therefore, it could be re- designed until a reasonable solution is reached.",False,True,0
187,A27NBGO9FXJS8Q,188,0.08845976178859569,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,-0.4969294789246497,55933,"Therefore, if government spending on the aged does not limit but increases due to aging population issue, the budget on infrastructure development will be lesser and this may affect the country's economic development negatively.",False,True,18
190,A27NBGO9FXJS8Q,191,-0.018834923431643127,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,1.5010638309389623,150584,"In conclusion, one who has genetic disorder or disease is obliged to reveal the genetic testing result he has because by revealing it, there are several benefits for him, his family and people around him.",False,True,88
197,A27NBGO9FXJS8Q,198,-0.09664034062699883,3KQC8JMJGCENJVINTYUOJPX4EC7H3G,9725,201,-0.4683867173551695,81421,"Innovations and technologies are for the public use, and without the confirmation from lab work and data, they are not completed.",False,True,19
207,A36PRTZFECB76C,208,-0.5072892328894778,3I4E7AFQ2KLO9IB7WD30DFHHL3OJT4,1005,0,-1.021151897631482,50415,The aging workforce will then decrease the work productivity and lower nation's economic development.,False,True,0
209,A36PRTZFECB76C,210,0.4728355782550416,3I4E7AFQ2KLO9IB7WD30DFHHL3OJT4,1005,0,-0.5892140459336667,16022,"However, in the reality, the result of genetic testing is so important and could give impact to all his family as it may comprise information about hereditary disease.",False,True,17
210,A36PRTZFECB76C,211,-0.22160650490876319,3I4E7AFQ2KLO9IB7WD30DFHHL3OJT4,1005,0,0.5795589645427744,20540,"Although it is essential for the government to spend on the graying population, there are, however, ways to minimize this spending, and this amount can then be used on other areas of the country's growth and development, such as maintaining our country's defense and improving the education system.",False,True,63
220,A36PRTZFECB76C,221,0.6084654147701015,3I4E7AFQ2KLO9IB7WD30DFHHL3OJT4,1005,0,1.418026559015004,49016,"In fact, this solution somehow could ensure the economy that it would be sufficient new generation of workforce to provide for the labour market when it comes to the time for the previous generation to get retired.",False,True,96
230,A36PRTZFECB76C,231,-0.4431871119474425,3I4E7AFQ2KLO9IB7WD30DFHHL3OJT4,1005,0,-0.995743788708081,92790,Limitations and transparency can be made to gain back the confidence level towards public spending.,False,True,1
231,A36PRTZFECB76C,232,-0.2794641321743495,3I4E7AFQ2KLO9IB7WD30DFHHL3OJT4,1005,0,-0.4875816102400631,114152,"Besides that, helium, the coolant of choice in VHTR is chemically inert.",False,True,21
234,A36PRTZFECB76C,235,0.6511276519102615,3I4E7AFQ2KLO9IB7WD30DFHHL3OJT4,1005,0,-0.8178870262442748,155508,""" Should the use of surveillance technology such as RFID to track people should be banned ?",False,True,8
235,A36PRTZFECB76C,236,-0.030542953748190677,3I4E7AFQ2KLO9IB7WD30DFHHL3OJT4,1005,0,-0.995743788708081,29672,"Consequently, a larger tax base should then sufficiently provide a larger portion of public finances for the aged.",False,True,1
236,A36PRTZFECB76C,237,-0.055910420303387116,3I4E7AFQ2KLO9IB7WD30DFHHL3OJT4,1005,0,-0.995743788708081,14185,"There are also considerations like age and maturity level (Gillian, Denise and Bartha 2009).",False,True,1
240,A36PRTZFECB76C,241,-0.18828609619318087,3I4E7AFQ2KLO9IB7WD30DFHHL3OJT4,1005,0,-0.995743788708081,107570,"In fact, the Chernobyl accident arises from chain of human errors.",False,True,1
250,A36PRTZFECB76C,251,0.5350806265827605,3I4E7AFQ2KLO9IB7WD30DFHHL3OJT4,1005,0,1.1893535787043958,124998,"Also, the technology used in production of nuclear energy has significantly improved in past few decades and safety factors are analyzed thoroughly when a nuclear plant is designed following the three miles island and Chernobyl accidents.",False,True,87
251,A36PRTZFECB76C,252,-0.14219903496798925,3I4E7AFQ2KLO9IB7WD30DFHHL3OJT4,1005,0,1.1385373608575942,8852,"In engineering design processes, the steps regarding solution generation, selection and test are of vital importance to build up such an ideal energy transportation system.",False,True,85
263,A36PRTZFECB76C,264,-0.08736082218613622,3I4E7AFQ2KLO9IB7WD30DFHHL3OJT4,1005,0,-0.995743788708081,10210,"However in the case of the serendipitous discoveries, identifying a problem or need as well as selecting the best solution are eliminated.",False,True,1
283,A36PRTZFECB76C,284,-0.020459191388362233,3I4E7AFQ2KLO9IB7WD30DFHHL3OJT4,1005,0,1.341802232244801,76932,"Different from other continents in the world, many people in Africa are still struggling for food, having no access to electricity.",False,True,93
299,A36PRTZFECB76C,300,0.4366128470551854,3I4E7AFQ2KLO9IB7WD30DFHHL3OJT4,1005,0,1.1385373608575942,63665,"First come first, the development of space technology is a basic need of economic boost.",False,True,85
318,A284YHQWREBH07,319,0.19166803685246028,301KG0KX9C7YYDM4PYGJ0FSC8Y7H25,688,202,1.1028083869549343,45375,"Not only that, it will generate the idea that it is okay to not look after the elderly as the welfare will step in and provide the elderly a place.",False,True,100
343,A284YHQWREBH07,344,0.1761097822179472,301KG0KX9C7YYDM4PYGJ0FSC8Y7H25,688,202,0.3081506221355261,149852,"However, if one thinks it positively, it can in fact share the tension of that carrier with his or her family so that he or she does not have to carry it alone.",False,True,73
