batch index,sentence NUCLE ID,original_text,is perfect,original_language
1,23369,"Nonetheless with many support in place, the future of world may not be as bleak as before.",False,english
1,86402,"In conclusion, the adoption of car and this technological innovation was not only technological determined, but also shaped by economic factors, military demands, and government policies and priorities.",False,english
1,110991,"On July 17, 1981 in Kansas City, Missouri, United States, The Hyatt Regency walkway collapse killed 114 people and injuring more than 200 others during a tea dance.",False,english
1,134466,One of the main opposing views is that nuclear energy has big potential safety hazard because once nuclear leakage happens people's health and the environment will be seriously threatened (Cohen).,False,english
1,55678,"Twinning the current general hospitals with the community hospitals, which are run by charitable organizations, will make healthcare affordable for all, especially the aged.",False,english
1,4523,"True identity of user of Xiaonei.com is indefinitely the outstanding social factor, which matches university students' expectation to share their true life in a secure way.",False,english
1,42857,"This means that there is no obligations to follow strictly to the guidelines, in other words, it will only work if the person who builds follows the guidelines.",False,english
1,88698,Rogers (2003) suggested that researches with the objective of providing solutions for one problem might result in solutions that are useful for another problem.,False,english
1,27787,"To begin with, it is no doubt that when a person becomes older, he will meet health problems, physically and mentally.",False,english
1,44502,"Therefore, we need to consider other government expenditure such as Education, Infrastructure and Research and Development (R&D).",False,english
1,77657,"The first step is to identify the problem, which usually involves the process of knowing what the customer wants and what problems are they encountering with existing products.",False,english
1,106838,"The existing technology is to store the waste on site, but it can be politically sensitive - Yucca Mountain in Nevada is one of the examples.",False,english
1,2826,"Thus, the above two impacts will affect the design stage, development stage significantly.",False,english
1,138183,"However, the opponents feel that nuclear power is not acceptable mainly due to safety, cost and its pollution issue.",False,english
1,50852,"Though government had encouraged children in fulfilling filial obligations of taking care of their parents, with their own family to take care of, children of these elderly would not be able to bare the financial burden.",False,english
1,142141,"In addition, Shuwen Wang (2005) also pointed out that "" improved control rods and reserve shutdown systems are capable of terminating fission process to control reactivity "" (Very High Temperature Reactor Safety Characteristics, p. 10).",False,english
1,58190,Many countries had taken this step to enforced policy and scheme to everyone so that the burden of the elderly can be lighten.,False,english
1,71628,"So, in order to get this situation, engineers should think about the ways that can make the design process meet the need of the market situation.",False,english
1,154416,"Surveillance technology helps us much in follow dangerous criminals such as gangsters, mafia chief.",False,english
1,131047,Reprocessing the nuclear waste endures great economic and political cost.,False,english
1,122701,"While, People still wonder if safety is guaranteed after the accident related to the VHTR basic design which has a potential to cause the destruction of the reactor core (Takeda, 2001).",False,english
1,67413,A device that free out more available spaces is gaining more recognition.,False,english
1,62707,"Elderly, who prepare well and early for old age will be more ready for retirement life, then the present generations of people will be able to enjoy meaningful and happily lives, without relying or putting burden on their children.",False,english
1,129330,"With the rising demand for energy and the increasingly visible harmful effects of the use of oil and fossil fuels to the environment, the nuclear energy offers an alternative and is regaining some of its popularity and early successes of 1970s.",False,english
1,14395,"The storage of key medical records and information in a radio-transmitting chip will cut down time spent on registration and thus, allowing patients to receive prompt treatment.",False,english
1,126173,"I believe that GFR is one of the most promising generation IV nuclear reactors, and its large scaled application is just around the corner.",False,english
1,56540,"A low limitation limits the funds being diverted to other areas of the country's development such as education, technology and economic investments.",False,english
1,88341,I hope things are starting to change now.,False,english
1,132284,"As we traced the history of nuclear power since 1942 till today, we can see that there is a vast improvement in the field of nuclear energy in terms of global security, operational safety, automating the process, cost and performance.",False,english
1,71786,One of the solutions is to construct a drainage system from the Indira Ghandi canal to irrigate the dry lands in the region.,False,english
1,37243,This is important as the problem faced by most of the aged population is the capability to cope with the high medical costs when illnesses such as strokes or heart diseases strike.,False,english
1,73916,"For example, the engineers of General Motor's (GM) R&D unit in Detroit were able to create astatically pleasing and highly efficient automobile that runs entirely on battery power (Rogers 2003).",False,english
1,76571,"Well, technologies are there to supposedly improve our way of life.",False,english
1,72990,These ideas and products had came from other countries and Singapore merely just takes the products and modifies it to suit her own needs.,False,english
1,69779,"In this era of globalization, engineering design has been emphasized by the governments of the countries all over the world, such as United State, Russia and France.",False,english
1,113993,Its first test run has a quite satisfied result by achieving its goal of 9500C without having any sign of partial reactor meltdown.,False,english
1,107943,"On that condition, new energy, especially nuclear power, will be our first choice to carry on our development, for which we must change our attitude towards nuclear power.",False,english
1,19279,"However, should the government decides to spend all of the 100 dollars into healthcare, there will be no profits and the government will also suffer a deficit.",False,english
1,90469,"According to Singapore Ministry of Finance, in FY2009, 41.5% of government expenditure would be placed on the economical and social development of the country.",False,english
1,42124,"Knowing the difficulties in encouraging Singaporeans to have more children, the government and related organizations decided to carry out research studies and have implemented policies to ease the aging process in different areas such as the medical field.",False,english
1,32271,"Increasing investment of capitals in amenities such as day care centres, elderly friendly housings and facilities, establishing more homes for the elderly etc should be carried out in response to the ageing population.",False,english
1,6864,"With the aid of a clear problem statement, the engineer is able to tackle the problem at its core by following through with an objective-specific statement.",False,english
1,41007,"In 2008, Singapore is reportedly one of the Asian economies to be worst hit by an ageing population (UBS, 2008).",False,english
1,130240,The world can not forget what happened in the Three Mile Island in 1979.,False,english
1,3342,Only by doing this we can make it clear that what the state quo of energy consumption is and whether a proposal is applicable.,False,english
1,106818,"According to Gerstner, the Gen IV nuclear reactors will promise a safe, economically competitive, proliferation-resistant nuclear power without the danger of increasing greenhouse gas emissions.",False,english
1,112372,"Plus, the earliest delivery of sodium-cooled reactor is 10 years earlier than lead-cooled reactor.",False,english
1,35493,"Diseases, such as tuberculosis, which were deemed incurable in the past, can be easily treated by current level of medical procedures.",False,english
1,135171,"In fact, despite the fact that reprocessing and research cost too much money, the molten salt reactor is profitable in a long term and it is economy compared to other reactors.",False,english
1,58851,The Japanese government is now emphasizing on achieving economic growth rather than increasing welfare expenditures to support it's growing aging society.,False,english
1,882,Hence designs that need large amount of gold may not be feasible.,False,english
1,64069,Mass media in Malaysia might be seen to have a lot of freedom in reporting news and views but the truth is that they are all being controlled behind the veil.,False,english
1,68792,The next phase is the gunpowder stage.,False,english
1,149961,"When a teenager is diagnosed to have a serious genetic disorder, she must tell her parents, since the doctor need the permission of her family before giving her any treatment.",False,english
1,19490,"However, the states fail to realize that people's value towards family is changing today.",False,english
1,44306,"In the current context, public spending on the aged has been significant especially in the developed countries such as Singapore.",False,english
1,146146,Everyone should responsible and play important role in the family.,False,english
1,134257,"Despite the technological deficiency doomed that the challenger was not safe to launch, psychology could be implemented to stop the disaster from happening.",False,english
1,156494,"In conclusion, surveillance technology should not be banned as it ensures the health and safety of public, besides being used to monitor the performance of employees.",False,english
1,70326,"Besides these functions, the engineers have also included an "" impact-reduction "" system to reduce the damage does to the wearer when he or she falls.",False,english
1,87229,One of the reasons is that normal employees are not inspirited to take part in the innovation.,False,english
1,90816,"Thus, government should also focus and put in more afford to help these people.",False,english
1,43217,"This clearly shows that if a country were to neglect its infrastructure development, it will affect the economy negatively.",False,english
1,116115,"Although there are still many people concerning about the safety and economy factors, the VHTR is indeed one of the most advanced and valuable design in the world and deserves further research and development funding for it.",False,english
1,7707,"Furthermore, rising temperature also resulted in frequent droughts which caused food shortages and aggravate the world'hunger' problem.",False,english
1,44765,"At the same time, with the rising economy, the national expenditure would eventually increase.",False,english
1,99306,The products is cheap and the word is big enough and the functions are just enough for the old.,False,english
1,57061,"In an aging society, due to lesser tax payers, government funds will eventually drop providing a huge cut in possible public expenditures needed to sustain a country.",False,english
1,80853,These findings are often unpredictable and uncertain.,False,english
1,67973,"Though most of them sound like fiction story, the dream is still achievable.",False,english
2,59779,This is because the current benefits that are provided to the elderly are still inadequate.,False,english
2,105055,The world depends largely on external energy to function all activities in the society.,False,english
2,90688,"In Singapore 2009's budget allocation, a total of $66 million (up from a total of $55.6 million in year 2008) was allocated from the pool of $18.1 billion allocated for social development.",False,english
2,95664,This is unlike the past when they are consider a burden to the family because considerable amount of effort is need to look after them.,False,english
