batch index,sentence NUCLE ID,original_text,is perfect,original_language
1,29211,This also resulted that all the needy aging population in Singapore were given a chance to receive certain treatments of the medical advancement in Singapore.,False,english
1,94574,"What's more, it can help to distribute the property and decrease the gap between the rich and the poor.",False,english
1,56039,""" All who have meditated on the art of governing mankind have been convinced that the fate of empires depends on the education of youth "" a quote by Aristotle clearly state that education is the crucial factor to determine a country success and progress.",False,english
1,46248,Some older workers may feel embarrass or dislike going back to school at an old age.,False,english
1,3467,So economy cost became a big concern.,False,english
1,83959,The government worries that the electric cars will restrict the development and expansion of those big cities due to its short running duration.,False,english
1,9159,"Nonetheless, luck is not the only determining factor for the birth of a technology, whether it is developed via research or resulted from a serendipitous discovery.",False,english
1,65640,"Though they are on opposite spectrum in terms of the field of technology, both have similarities in their own way.",False,english
1,75989,""" (MYE forum, 08/06/2006, para.1).The quality of infra-structure and education serving tools are that low, same goes for the quality of teaching, but the main point here is the ones who have the right to change and improve that entire thing hardly taking a concern.",False,english
1,10031,"In times of economic recession, it is of lower tendency for consumer to purchase the more expensive refrigerator when both have the same primary functions that is to store up food at low temperature.",False,english
1,85628,It is also common for monopolies to lower the price in a large scale to annihilate their opponents and rise it up latter.,False,english
1,91719,"As a result, there is a need to balance the public spending.",False,english
1,144587,"Code of Barrier-Free Accessibility (BCA, 2002) are adhere to the conditions of being elderly friendly and barrier-free.",False,english
1,92731,"But, the amount must be balanced and have to take into consideration for other needs such as improving and developing infrastructures, creating employment opportunities and the rising standard of living of the nation.",False,english
1,146581,"Firstly, a carrier should not be obligated to disclose information to his relatives as he has the individual rights as a patient to privacy.",False,english
1,143528,"However in the United States, the figure stands at 45 % which is now grappling with a controversial reform plan to provide universal healthcare coverage.",False,english
1,137236,"Though questions have been raised on its pending features of development, the GFR should be chosen as the research prototype due to its performance, safety and economics features.",False,english
1,35400,"Furthermore, elderly people with better education tend to have more active, healthier life than the others and are not burdens to the society.",False,english
1,65802,"To enhance the capacity of the battery, keep trying new materials is important.",False,english
1,119546,"Besides that Hichman, designer of Nano, explains that their target was to construct a modular body where structure was added to the base of the vehicle so that Nano will be able to meet the European safety regulations (Schedel, 2009).",False,english
1,132577,Only with the usage of nuclear reactor we are then able to claim the title of environmental friendly.,False,english
1,153658,"However, protecting the privacy in this situation is not more important than letting the offenders to violate the laws and threaten our lives.",False,english
1,123763,The combination of the two will also make modern surgery up to a new level.,False,english
1,86456,This was very little if it was meant to reward him for his more than twenty years' hard work.,False,english
1,148192,This would rather reduce the chance of getting the cancer if preventative measures have been taken earlier.,False,english
